Start,End,Segment,Strain,NGS_read_count
426,1053,PA,A_PuertoRico_8_1934,1
405,1228,PA,A_PuertoRico_8_1934,1
423,1023,PA,A_PuertoRico_8_1934,1
316,1244,PA,A_PuertoRico_8_1934,1
391,1007,PA,A_PuertoRico_8_1934,1
358,1234,PA,A_PuertoRico_8_1934,1
173,1153,PA,A_PuertoRico_8_1934,1
448,1162,PA,A_PuertoRico_8_1934,1
405,1187,PA,A_PuertoRico_8_1934,1
268,995,PA,A_PuertoRico_8_1934,1
235,1082,PA,A_PuertoRico_8_1934,1
208,932,PA,A_PuertoRico_8_1934,1
433,1186,PA,A_PuertoRico_8_1934,1
84,1244,PA,A_PuertoRico_8_1934,1
435,1002,PA,A_PuertoRico_8_1934,1
320,1143,PA,A_PuertoRico_8_1934,1
119,1095,PA,A_PuertoRico_8_1934,1
434,1095,PA,A_PuertoRico_8_1934,1
152,1174,PA,A_PuertoRico_8_1934,1
406,1071,PA,A_PuertoRico_8_1934,1
449,1030,PA,A_PuertoRico_8_1934,1
172,926,PA,A_PuertoRico_8_1934,1
418,1248,PA,A_PuertoRico_8_1934,1
121,997,PA,A_PuertoRico_8_1934,1
466,1154,PA,A_PuertoRico_8_1934,1
112,891,PA,A_PuertoRico_8_1934,1
370,1173,PA,A_PuertoRico_8_1934,1
82,981,PA,A_PuertoRico_8_1934,1
198,1217,PA,A_PuertoRico_8_1934,1
434,1031,PA,A_PuertoRico_8_1934,1
455,1128,PA,A_PuertoRico_8_1934,1
340,1106,PA,A_PuertoRico_8_1934,1
134,1254,PA,A_PuertoRico_8_1934,1
315,1208,PA,A_PuertoRico_8_1934,1
180,951,PA,A_PuertoRico_8_1934,1
272,1090,PA,A_PuertoRico_8_1934,1
345,1217,PA,A_PuertoRico_8_1934,1
82,1212,PA,A_PuertoRico_8_1934,1
449,953,PA,A_PuertoRico_8_1934,1
76,1032,PA,A_PuertoRico_8_1934,1
321,1130,PA,A_PuertoRico_8_1934,1
74,1064,PA,A_PuertoRico_8_1934,1
196,1255,PA,A_PuertoRico_8_1934,1
239,981,PA,A_PuertoRico_8_1934,1
176,950,PA,A_PuertoRico_8_1934,1
126,928,PA,A_PuertoRico_8_1934,1
289,1141,PA,A_PuertoRico_8_1934,1
257,1018,PA,A_PuertoRico_8_1934,1
237,1138,PA,A_PuertoRico_8_1934,1
456,1027,PA,A_PuertoRico_8_1934,1
129,1121,PA,A_PuertoRico_8_1934,1
228,1088,PA,A_PuertoRico_8_1934,1
313,1145,PA,A_PuertoRico_8_1934,1
460,933,PA,A_PuertoRico_8_1934,1
418,902,PA,A_PuertoRico_8_1934,1
299,1110,PA,A_PuertoRico_8_1934,1
425,1064,PA,A_PuertoRico_8_1934,1
126,1148,PA,A_PuertoRico_8_1934,1
359,1239,PA,A_PuertoRico_8_1934,1
325,1010,PA,A_PuertoRico_8_1934,1
90,1006,PA,A_PuertoRico_8_1934,1
312,1174,PA,A_PuertoRico_8_1934,1
141,1085,PA,A_PuertoRico_8_1934,1
306,876,PA,A_PuertoRico_8_1934,1
164,908,PA,A_PuertoRico_8_1934,1
270,1073,PA,A_PuertoRico_8_1934,1
212,1069,PA,A_PuertoRico_8_1934,1
202,1138,PA,A_PuertoRico_8_1934,1
120,1209,PA,A_PuertoRico_8_1934,1
471,991,PA,A_PuertoRico_8_1934,1
308,1118,PA,A_PuertoRico_8_1934,1
211,976,PA,A_PuertoRico_8_1934,1
364,947,PA,A_PuertoRico_8_1934,1
340,1039,PA,A_PuertoRico_8_1934,1
457,1079,PA,A_PuertoRico_8_1934,1
286,1262,PA,A_PuertoRico_8_1934,1
297,1150,PA,A_PuertoRico_8_1934,1
129,1087,PA,A_PuertoRico_8_1934,1
228,916,PA,A_PuertoRico_8_1934,1
411,1219,PA,A_PuertoRico_8_1934,1
337,870,PA,A_PuertoRico_8_1934,1
313,1171,PA,A_PuertoRico_8_1934,1
89,1013,PA,A_PuertoRico_8_1934,1
352,940,PA,A_PuertoRico_8_1934,1
86,1120,PA,A_PuertoRico_8_1934,1
464,1123,PA,A_PuertoRico_8_1934,1
427,1259,PA,A_PuertoRico_8_1934,1
406,969,PA,A_PuertoRico_8_1934,1
412,1167,PA,A_PuertoRico_8_1934,1
453,964,PA,A_PuertoRico_8_1934,1
168,1062,PA,A_PuertoRico_8_1934,1
376,998,PA,A_PuertoRico_8_1934,1
376,959,PA,A_PuertoRico_8_1934,1
311,1074,PA,A_PuertoRico_8_1934,1
232,1186,PA,A_PuertoRico_8_1934,1
150,914,PA,A_PuertoRico_8_1934,1
91,1033,PA,A_PuertoRico_8_1934,1
383,1102,PA,A_PuertoRico_8_1934,1
358,1256,PA,A_PuertoRico_8_1934,1
133,1084,PA,A_PuertoRico_8_1934,1
425,1055,PA,A_PuertoRico_8_1934,1
297,1186,PA,A_PuertoRico_8_1934,1
113,1146,PA,A_PuertoRico_8_1934,1
356,1084,PA,A_PuertoRico_8_1934,1
327,1086,PA,A_PuertoRico_8_1934,1
212,932,PA,A_PuertoRico_8_1934,1
417,879,PA,A_PuertoRico_8_1934,1
118,1076,PA,A_PuertoRico_8_1934,1
150,865,PA,A_PuertoRico_8_1934,1
388,1060,PA,A_PuertoRico_8_1934,1
255,1071,PA,A_PuertoRico_8_1934,1
184,1077,PA,A_PuertoRico_8_1934,1
351,1195,PA,A_PuertoRico_8_1934,1
330,1067,PA,A_PuertoRico_8_1934,1
216,1250,PA,A_PuertoRico_8_1934,1
380,878,PA,A_PuertoRico_8_1934,1
288,1137,PA,A_PuertoRico_8_1934,1
166,969,PA,A_PuertoRico_8_1934,1
269,1159,PA,A_PuertoRico_8_1934,1
369,1018,PA,A_PuertoRico_8_1934,1
209,1177,PA,A_PuertoRico_8_1934,1
205,881,PA,A_PuertoRico_8_1934,1
459,896,PA,A_PuertoRico_8_1934,1
356,1081,PA,A_PuertoRico_8_1934,1
439,1026,PA,A_PuertoRico_8_1934,1
316,1103,PA,A_PuertoRico_8_1934,1
230,1141,PA,A_PuertoRico_8_1934,1
139,923,PA,A_PuertoRico_8_1934,1
251,1076,PA,A_PuertoRico_8_1934,1
291,1150,PA,A_PuertoRico_8_1934,1
415,1246,PA,A_PuertoRico_8_1934,1
391,1091,PA,A_PuertoRico_8_1934,1
315,1167,PA,A_PuertoRico_8_1934,1
100,1009,PA,A_PuertoRico_8_1934,1
218,1037,PA,A_PuertoRico_8_1934,1
298,1013,PA,A_PuertoRico_8_1934,1
166,968,PA,A_PuertoRico_8_1934,1
182,1258,PA,A_PuertoRico_8_1934,1
352,1065,PA,A_PuertoRico_8_1934,1
86,1177,PA,A_PuertoRico_8_1934,1
188,1227,PA,A_PuertoRico_8_1934,1
280,1143,PA,A_PuertoRico_8_1934,1
268,1237,PA,A_PuertoRico_8_1934,1
340,1099,PA,A_PuertoRico_8_1934,1
260,1041,PA,A_PuertoRico_8_1934,1
372,1118,PA,A_PuertoRico_8_1934,1
377,1256,PA,A_PuertoRico_8_1934,1
402,1246,PA,A_PuertoRico_8_1934,1
257,970,PA,A_PuertoRico_8_1934,1
312,959,PA,A_PuertoRico_8_1934,1
233,988,PA,A_PuertoRico_8_1934,1
321,1103,PA,A_PuertoRico_8_1934,1
311,1085,PA,A_PuertoRico_8_1934,1
228,1231,PA,A_PuertoRico_8_1934,1
465,934,PA,A_PuertoRico_8_1934,1
81,1251,PA,A_PuertoRico_8_1934,1
436,1153,PA,A_PuertoRico_8_1934,1
271,934,PA,A_PuertoRico_8_1934,1
413,974,PA,A_PuertoRico_8_1934,1
295,941,PA,A_PuertoRico_8_1934,1
133,869,PA,A_PuertoRico_8_1934,1
295,1138,PA,A_PuertoRico_8_1934,1
345,1033,PA,A_PuertoRico_8_1934,1
430,1132,PA,A_PuertoRico_8_1934,1
402,1143,PA,A_PuertoRico_8_1934,1
265,1055,PA,A_PuertoRico_8_1934,1
412,896,PA,A_PuertoRico_8_1934,1
260,1220,PA,A_PuertoRico_8_1934,1
220,1198,PA,A_PuertoRico_8_1934,1
385,907,PA,A_PuertoRico_8_1934,1
376,1034,PA,A_PuertoRico_8_1934,1
167,1012,PA,A_PuertoRico_8_1934,1
415,1251,PA,A_PuertoRico_8_1934,1
445,1080,PA,A_PuertoRico_8_1934,1
381,1002,PA,A_PuertoRico_8_1934,1
117,1188,PA,A_PuertoRico_8_1934,1
179,999,PA,A_PuertoRico_8_1934,1
154,1151,PA,A_PuertoRico_8_1934,1
386,971,PA,A_PuertoRico_8_1934,1
227,982,PA,A_PuertoRico_8_1934,1
393,1234,PA,A_PuertoRico_8_1934,1
291,1024,PA,A_PuertoRico_8_1934,1
194,1078,PA,A_PuertoRico_8_1934,1
277,963,PA,A_PuertoRico_8_1934,1
397,1215,PA,A_PuertoRico_8_1934,1
459,1099,PA,A_PuertoRico_8_1934,1
392,900,PA,A_PuertoRico_8_1934,1
459,1066,PA,A_PuertoRico_8_1934,1
469,1050,PA,A_PuertoRico_8_1934,1
379,975,PA,A_PuertoRico_8_1934,1
224,866,PA,A_PuertoRico_8_1934,1
310,1189,PA,A_PuertoRico_8_1934,1
106,1003,PA,A_PuertoRico_8_1934,1
344,1244,PA,A_PuertoRico_8_1934,1
474,1158,PA,A_PuertoRico_8_1934,1
367,947,PA,A_PuertoRico_8_1934,1
239,1006,PA,A_PuertoRico_8_1934,1
428,1189,PA,A_PuertoRico_8_1934,1
134,988,PA,A_PuertoRico_8_1934,1
320,1100,PA,A_PuertoRico_8_1934,1
312,1252,PA,A_PuertoRico_8_1934,1
215,1208,PA,A_PuertoRico_8_1934,1
148,876,PA,A_PuertoRico_8_1934,1
351,976,PA,A_PuertoRico_8_1934,1
128,1219,PA,A_PuertoRico_8_1934,1
371,1198,PA,A_PuertoRico_8_1934,1
429,1128,PA,A_PuertoRico_8_1934,1
148,1096,PA,A_PuertoRico_8_1934,1
174,1088,PA,A_PuertoRico_8_1934,1
290,978,PA,A_PuertoRico_8_1934,1
249,898,PA,A_PuertoRico_8_1934,1
459,1122,PA,A_PuertoRico_8_1934,1
370,1205,PA,A_PuertoRico_8_1934,1
367,1094,PA,A_PuertoRico_8_1934,1
161,1102,PA,A_PuertoRico_8_1934,1
273,1014,PA,A_PuertoRico_8_1934,1
469,1029,PA,A_PuertoRico_8_1934,1
197,1242,PA,A_PuertoRico_8_1934,1
176,1056,PA,A_PuertoRico_8_1934,1
90,1112,PA,A_PuertoRico_8_1934,1
183,896,PA,A_PuertoRico_8_1934,1
288,1148,PA,A_PuertoRico_8_1934,1
362,1212,PA,A_PuertoRico_8_1934,1
104,1244,PA,A_PuertoRico_8_1934,1
197,890,PA,A_PuertoRico_8_1934,1
259,1093,PA,A_PuertoRico_8_1934,1
429,883,PA,A_PuertoRico_8_1934,1
220,1108,PA,A_PuertoRico_8_1934,1
223,897,PA,A_PuertoRico_8_1934,1
369,916,PA,A_PuertoRico_8_1934,1
139,900,PA,A_PuertoRico_8_1934,1
77,1226,PA,A_PuertoRico_8_1934,1
231,993,PA,A_PuertoRico_8_1934,1
280,1119,PA,A_PuertoRico_8_1934,1
107,895,PA,A_PuertoRico_8_1934,1
200,906,PA,A_PuertoRico_8_1934,1
107,1247,PA,A_PuertoRico_8_1934,1
455,1219,PA,A_PuertoRico_8_1934,1
105,1081,PA,A_PuertoRico_8_1934,1
282,1076,PA,A_PuertoRico_8_1934,1
77,1209,PA,A_PuertoRico_8_1934,1
139,1030,PA,A_PuertoRico_8_1934,1
205,985,PA,A_PuertoRico_8_1934,1
249,907,PA,A_PuertoRico_8_1934,1
135,984,PA,A_PuertoRico_8_1934,1
195,951,PA,A_PuertoRico_8_1934,1
120,1125,PA,A_PuertoRico_8_1934,1
290,915,PA,A_PuertoRico_8_1934,1
322,1079,PA,A_PuertoRico_8_1934,1
215,1201,PA,A_PuertoRico_8_1934,1
219,887,PA,A_PuertoRico_8_1934,1
397,993,PA,A_PuertoRico_8_1934,1
206,1170,PA,A_PuertoRico_8_1934,1
198,1064,PA,A_PuertoRico_8_1934,1
275,1172,PA,A_PuertoRico_8_1934,1
243,1187,PA,A_PuertoRico_8_1934,1
100,893,PA,A_PuertoRico_8_1934,1
313,917,PA,A_PuertoRico_8_1934,1
249,1155,PA,A_PuertoRico_8_1934,1
84,1085,PA,A_PuertoRico_8_1934,1
445,1159,PA,A_PuertoRico_8_1934,1
299,1191,PA,A_PuertoRico_8_1934,1
85,910,PA,A_PuertoRico_8_1934,1
251,1139,PA,A_PuertoRico_8_1934,1
81,1168,PA,A_PuertoRico_8_1934,1
455,1092,PA,A_PuertoRico_8_1934,1
144,1230,PA,A_PuertoRico_8_1934,1
104,953,PA,A_PuertoRico_8_1934,1
123,1162,PA,A_PuertoRico_8_1934,1
211,1153,PA,A_PuertoRico_8_1934,1
353,901,PA,A_PuertoRico_8_1934,1
272,1000,PA,A_PuertoRico_8_1934,1
285,1069,PA,A_PuertoRico_8_1934,1
356,1056,PA,A_PuertoRico_8_1934,1
183,953,PA,A_PuertoRico_8_1934,1
258,937,PA,A_PuertoRico_8_1934,1
344,1019,PA,A_PuertoRico_8_1934,1
205,1249,PA,A_PuertoRico_8_1934,1
446,984,PA,A_PuertoRico_8_1934,1
280,870,PA,A_PuertoRico_8_1934,1
311,960,PA,A_PuertoRico_8_1934,1
135,974,PA,A_PuertoRico_8_1934,1
