Start,End,Segment,Strain,NGS_read_count
173,1903,PA,A_PuertoRico_8_1934,1
496,1893,PA,A_PuertoRico_8_1934,1
259,1899,PA,A_PuertoRico_8_1934,1
342,1999,PA,A_PuertoRico_8_1934,1
358,1642,PA,A_PuertoRico_8_1934,1
439,1891,PA,A_PuertoRico_8_1934,1
409,1876,PA,A_PuertoRico_8_1934,1
386,1730,PA,A_PuertoRico_8_1934,1
365,1617,PA,A_PuertoRico_8_1934,1
553,1832,PA,A_PuertoRico_8_1934,1
366,1728,PA,A_PuertoRico_8_1934,1
185,1980,PA,A_PuertoRico_8_1934,1
163,1836,PA,A_PuertoRico_8_1934,1
405,1820,PA,A_PuertoRico_8_1934,1
418,1929,PA,A_PuertoRico_8_1934,1
267,1979,PA,A_PuertoRico_8_1934,1
228,1688,PA,A_PuertoRico_8_1934,1
541,1914,PA,A_PuertoRico_8_1934,1
191,1628,PA,A_PuertoRico_8_1934,1
434,2005,PA,A_PuertoRico_8_1934,1
407,1632,PA,A_PuertoRico_8_1934,1
305,1638,PA,A_PuertoRico_8_1934,1
384,1942,PA,A_PuertoRico_8_1934,1
256,1852,PA,A_PuertoRico_8_1934,1
541,1778,PA,A_PuertoRico_8_1934,1
284,1900,PA,A_PuertoRico_8_1934,1
451,1766,PA,A_PuertoRico_8_1934,1
512,1732,PA,A_PuertoRico_8_1934,1
529,1727,PA,A_PuertoRico_8_1934,1
222,1849,PA,A_PuertoRico_8_1934,1
418,1674,PA,A_PuertoRico_8_1934,1
392,1790,PA,A_PuertoRico_8_1934,1
473,1778,PA,A_PuertoRico_8_1934,1
277,1745,PA,A_PuertoRico_8_1934,1
302,1947,PA,A_PuertoRico_8_1934,1
229,1777,PA,A_PuertoRico_8_1934,1
285,1688,PA,A_PuertoRico_8_1934,1
501,1695,PA,A_PuertoRico_8_1934,1
556,1681,PA,A_PuertoRico_8_1934,1
269,1679,PA,A_PuertoRico_8_1934,1
325,1791,PA,A_PuertoRico_8_1934,1
382,1876,PA,A_PuertoRico_8_1934,1
257,1669,PA,A_PuertoRico_8_1934,1
493,1672,PA,A_PuertoRico_8_1934,1
324,1919,PA,A_PuertoRico_8_1934,1
329,1919,PA,A_PuertoRico_8_1934,1
393,1920,PA,A_PuertoRico_8_1934,1
180,1845,PA,A_PuertoRico_8_1934,1
493,1791,PA,A_PuertoRico_8_1934,1
354,1900,PA,A_PuertoRico_8_1934,1
527,1790,PA,A_PuertoRico_8_1934,1
340,2006,PA,A_PuertoRico_8_1934,1
379,1687,PA,A_PuertoRico_8_1934,1
313,1997,PA,A_PuertoRico_8_1934,1
359,1671,PA,A_PuertoRico_8_1934,1
328,1702,PA,A_PuertoRico_8_1934,1
253,1730,PA,A_PuertoRico_8_1934,1
183,1917,PA,A_PuertoRico_8_1934,1
337,1644,PA,A_PuertoRico_8_1934,1
407,1806,PA,A_PuertoRico_8_1934,1
466,1853,PA,A_PuertoRico_8_1934,1
332,1733,PA,A_PuertoRico_8_1934,1
319,1758,PA,A_PuertoRico_8_1934,1
474,1840,PA,A_PuertoRico_8_1934,1
368,1876,PA,A_PuertoRico_8_1934,1
186,1800,PA,A_PuertoRico_8_1934,1
496,1692,PA,A_PuertoRico_8_1934,1
553,1742,PA,A_PuertoRico_8_1934,1
387,1844,PA,A_PuertoRico_8_1934,1
316,1729,PA,A_PuertoRico_8_1934,1
498,1972,PA,A_PuertoRico_8_1934,1
506,1990,PA,A_PuertoRico_8_1934,1
456,1652,PA,A_PuertoRico_8_1934,1
558,1884,PA,A_PuertoRico_8_1934,1
327,1696,PA,A_PuertoRico_8_1934,1
279,1996,PA,A_PuertoRico_8_1934,1
518,1694,PA,A_PuertoRico_8_1934,1
265,1802,PA,A_PuertoRico_8_1934,1
497,1706,PA,A_PuertoRico_8_1934,1
177,1840,PA,A_PuertoRico_8_1934,1
549,1675,PA,A_PuertoRico_8_1934,1
551,1822,PA,A_PuertoRico_8_1934,1
526,1647,PA,A_PuertoRico_8_1934,1
199,1957,PA,A_PuertoRico_8_1934,1
455,2015,PA,A_PuertoRico_8_1934,1
432,1932,PA,A_PuertoRico_8_1934,1
524,1699,PA,A_PuertoRico_8_1934,1
189,1709,PA,A_PuertoRico_8_1934,1
504,1616,PA,A_PuertoRico_8_1934,1
344,1953,PA,A_PuertoRico_8_1934,1
533,1871,PA,A_PuertoRico_8_1934,1
281,1686,PA,A_PuertoRico_8_1934,1
484,1689,PA,A_PuertoRico_8_1934,1
479,1972,PA,A_PuertoRico_8_1934,1
178,1716,PA,A_PuertoRico_8_1934,1
381,1880,PA,A_PuertoRico_8_1934,1
311,1978,PA,A_PuertoRico_8_1934,1
405,1809,PA,A_PuertoRico_8_1934,1
258,1886,PA,A_PuertoRico_8_1934,1
432,1975,PA,A_PuertoRico_8_1934,1
314,1878,PA,A_PuertoRico_8_1934,1
275,1931,PA,A_PuertoRico_8_1934,1
159,1880,PA,A_PuertoRico_8_1934,1
185,1974,PA,A_PuertoRico_8_1934,1
255,1903,PA,A_PuertoRico_8_1934,1
269,2008,PA,A_PuertoRico_8_1934,1
247,1900,PA,A_PuertoRico_8_1934,1
216,1852,PA,A_PuertoRico_8_1934,1
490,1927,PA,A_PuertoRico_8_1934,1
537,1769,PA,A_PuertoRico_8_1934,1
350,1699,PA,A_PuertoRico_8_1934,1
289,1615,PA,A_PuertoRico_8_1934,1
337,2009,PA,A_PuertoRico_8_1934,1
244,1856,PA,A_PuertoRico_8_1934,1
361,1987,PA,A_PuertoRico_8_1934,1
519,1759,PA,A_PuertoRico_8_1934,1
384,1792,PA,A_PuertoRico_8_1934,1
264,1625,PA,A_PuertoRico_8_1934,1
254,1895,PA,A_PuertoRico_8_1934,1
454,1773,PA,A_PuertoRico_8_1934,1
312,1826,PA,A_PuertoRico_8_1934,1
444,1791,PA,A_PuertoRico_8_1934,1
192,1991,PA,A_PuertoRico_8_1934,1
242,1980,PA,A_PuertoRico_8_1934,1
461,1728,PA,A_PuertoRico_8_1934,1
520,1700,PA,A_PuertoRico_8_1934,1
293,1644,PA,A_PuertoRico_8_1934,1
429,1884,PA,A_PuertoRico_8_1934,1
411,1840,PA,A_PuertoRico_8_1934,1
505,1616,PA,A_PuertoRico_8_1934,1
420,1711,PA,A_PuertoRico_8_1934,1
209,1686,PA,A_PuertoRico_8_1934,1
240,1911,PA,A_PuertoRico_8_1934,1
455,1794,PA,A_PuertoRico_8_1934,1
262,1829,PA,A_PuertoRico_8_1934,1
429,1881,PA,A_PuertoRico_8_1934,1
470,1983,PA,A_PuertoRico_8_1934,1
161,1719,PA,A_PuertoRico_8_1934,1
423,1889,PA,A_PuertoRico_8_1934,1
480,1657,PA,A_PuertoRico_8_1934,1
535,1660,PA,A_PuertoRico_8_1934,1
219,1883,PA,A_PuertoRico_8_1934,1
478,1973,PA,A_PuertoRico_8_1934,1
558,2005,PA,A_PuertoRico_8_1934,1
297,1676,PA,A_PuertoRico_8_1934,1
553,1631,PA,A_PuertoRico_8_1934,1
178,1755,PA,A_PuertoRico_8_1934,1
306,1792,PA,A_PuertoRico_8_1934,1
257,1800,PA,A_PuertoRico_8_1934,1
204,1719,PA,A_PuertoRico_8_1934,1
205,1699,PA,A_PuertoRico_8_1934,1
534,1958,PA,A_PuertoRico_8_1934,1
475,1966,PA,A_PuertoRico_8_1934,1
276,1652,PA,A_PuertoRico_8_1934,1
526,1922,PA,A_PuertoRico_8_1934,1
425,1735,PA,A_PuertoRico_8_1934,1
278,1925,PA,A_PuertoRico_8_1934,1
247,1723,PA,A_PuertoRico_8_1934,1
191,1740,PA,A_PuertoRico_8_1934,1
274,1737,PA,A_PuertoRico_8_1934,1
176,1878,PA,A_PuertoRico_8_1934,1
186,1653,PA,A_PuertoRico_8_1934,1
291,1808,PA,A_PuertoRico_8_1934,1
265,1639,PA,A_PuertoRico_8_1934,1
512,1934,PA,A_PuertoRico_8_1934,1
226,1722,PA,A_PuertoRico_8_1934,1
472,1700,PA,A_PuertoRico_8_1934,1
402,1817,PA,A_PuertoRico_8_1934,1
510,1991,PA,A_PuertoRico_8_1934,1
280,1805,PA,A_PuertoRico_8_1934,1
314,1646,PA,A_PuertoRico_8_1934,1
186,1953,PA,A_PuertoRico_8_1934,1
364,1633,PA,A_PuertoRico_8_1934,1
344,1647,PA,A_PuertoRico_8_1934,1
549,1916,PA,A_PuertoRico_8_1934,1
406,1871,PA,A_PuertoRico_8_1934,1
487,1957,PA,A_PuertoRico_8_1934,1
244,1694,PA,A_PuertoRico_8_1934,1
209,1677,PA,A_PuertoRico_8_1934,1
350,1859,PA,A_PuertoRico_8_1934,1
346,1730,PA,A_PuertoRico_8_1934,1
390,1825,PA,A_PuertoRico_8_1934,1
546,1623,PA,A_PuertoRico_8_1934,1
329,1716,PA,A_PuertoRico_8_1934,1
378,1976,PA,A_PuertoRico_8_1934,1
315,1923,PA,A_PuertoRico_8_1934,1
372,1835,PA,A_PuertoRico_8_1934,1
201,1803,PA,A_PuertoRico_8_1934,1
292,1926,PA,A_PuertoRico_8_1934,1
290,1933,PA,A_PuertoRico_8_1934,1
280,1765,PA,A_PuertoRico_8_1934,1
304,1779,PA,A_PuertoRico_8_1934,1
190,1649,PA,A_PuertoRico_8_1934,1
293,1898,PA,A_PuertoRico_8_1934,1
183,1819,PA,A_PuertoRico_8_1934,1
402,1914,PA,A_PuertoRico_8_1934,1
217,1987,PA,A_PuertoRico_8_1934,1
185,1958,PA,A_PuertoRico_8_1934,1
385,1737,PA,A_PuertoRico_8_1934,1
428,2012,PA,A_PuertoRico_8_1934,1
218,1914,PA,A_PuertoRico_8_1934,1
498,1952,PA,A_PuertoRico_8_1934,1
474,1687,PA,A_PuertoRico_8_1934,1
252,2011,PA,A_PuertoRico_8_1934,1
522,1866,PA,A_PuertoRico_8_1934,1
422,1687,PA,A_PuertoRico_8_1934,1
479,1914,PA,A_PuertoRico_8_1934,1
299,1707,PA,A_PuertoRico_8_1934,1
413,1748,PA,A_PuertoRico_8_1934,1
177,1765,PA,A_PuertoRico_8_1934,1
413,1794,PA,A_PuertoRico_8_1934,1
409,1644,PA,A_PuertoRico_8_1934,1
338,1717,PA,A_PuertoRico_8_1934,1
313,1763,PA,A_PuertoRico_8_1934,1
281,1808,PA,A_PuertoRico_8_1934,1
457,1821,PA,A_PuertoRico_8_1934,1
409,1723,PA,A_PuertoRico_8_1934,1
424,1730,PA,A_PuertoRico_8_1934,1
269,1842,PA,A_PuertoRico_8_1934,1
475,1893,PA,A_PuertoRico_8_1934,1
200,1878,PA,A_PuertoRico_8_1934,1
507,1911,PA,A_PuertoRico_8_1934,1
239,1722,PA,A_PuertoRico_8_1934,1
450,1904,PA,A_PuertoRico_8_1934,1
235,1881,PA,A_PuertoRico_8_1934,1
384,1970,PA,A_PuertoRico_8_1934,1
279,1840,PA,A_PuertoRico_8_1934,1
486,1795,PA,A_PuertoRico_8_1934,1
280,1734,PA,A_PuertoRico_8_1934,1
248,1652,PA,A_PuertoRico_8_1934,1
551,1841,PA,A_PuertoRico_8_1934,1
396,1665,PA,A_PuertoRico_8_1934,1
540,1903,PA,A_PuertoRico_8_1934,1
416,1904,PA,A_PuertoRico_8_1934,1
407,1893,PA,A_PuertoRico_8_1934,1
394,1633,PA,A_PuertoRico_8_1934,1
441,1985,PA,A_PuertoRico_8_1934,1
257,2000,PA,A_PuertoRico_8_1934,1
222,1650,PA,A_PuertoRico_8_1934,1
406,1919,PA,A_PuertoRico_8_1934,1
358,2002,PA,A_PuertoRico_8_1934,1
307,1645,PA,A_PuertoRico_8_1934,1
199,1724,PA,A_PuertoRico_8_1934,1
541,1846,PA,A_PuertoRico_8_1934,1
238,1659,PA,A_PuertoRico_8_1934,1
256,1920,PA,A_PuertoRico_8_1934,1
522,1857,PA,A_PuertoRico_8_1934,1
373,1909,PA,A_PuertoRico_8_1934,1
325,1792,PA,A_PuertoRico_8_1934,1
489,1983,PA,A_PuertoRico_8_1934,1
553,1685,PA,A_PuertoRico_8_1934,1
402,1743,PA,A_PuertoRico_8_1934,1
508,1994,PA,A_PuertoRico_8_1934,1
391,1676,PA,A_PuertoRico_8_1934,1
258,1922,PA,A_PuertoRico_8_1934,1
347,1952,PA,A_PuertoRico_8_1934,1
224,1699,PA,A_PuertoRico_8_1934,1
258,1842,PA,A_PuertoRico_8_1934,1
164,1685,PA,A_PuertoRico_8_1934,1
508,1925,PA,A_PuertoRico_8_1934,1
292,1776,PA,A_PuertoRico_8_1934,1
255,1764,PA,A_PuertoRico_8_1934,1
489,1964,PA,A_PuertoRico_8_1934,1
457,1755,PA,A_PuertoRico_8_1934,1
369,1685,PA,A_PuertoRico_8_1934,1
547,1737,PA,A_PuertoRico_8_1934,1
235,1669,PA,A_PuertoRico_8_1934,1
311,1856,PA,A_PuertoRico_8_1934,1
403,1955,PA,A_PuertoRico_8_1934,1
553,1654,PA,A_PuertoRico_8_1934,1
263,2008,PA,A_PuertoRico_8_1934,1
480,1689,PA,A_PuertoRico_8_1934,1
256,1749,PA,A_PuertoRico_8_1934,1
371,1967,PA,A_PuertoRico_8_1934,1
478,1615,PA,A_PuertoRico_8_1934,1
429,1616,PA,A_PuertoRico_8_1934,1
465,1733,PA,A_PuertoRico_8_1934,1
193,2005,PA,A_PuertoRico_8_1934,1
538,1764,PA,A_PuertoRico_8_1934,1
404,1679,PA,A_PuertoRico_8_1934,1
540,1863,PA,A_PuertoRico_8_1934,1
531,1942,PA,A_PuertoRico_8_1934,1
325,1669,PA,A_PuertoRico_8_1934,1
260,1815,PA,A_PuertoRico_8_1934,1
181,1754,PA,A_PuertoRico_8_1934,1
484,1681,PA,A_PuertoRico_8_1934,1
487,1965,PA,A_PuertoRico_8_1934,1
